programa_propio,generica_sies,area_sies,nivel_condicion,isced_amplio_cod,isced_amplio,isced_estrecho_cod,isced_estrecho,isced_detallado_cod,isced_detallado,dist_niveles_sies,n_programas_sies_2026
Actuación y Teatro,Actuación y Teatro,Arte y Arquitectura,profesional | profesional_con_grado,02,Arts and humanities,021,Arts,0215,Music and performing arts,profesional 30.8% | profesional_con_grado 69.2%,26.0
Administración Gastronómica,Administración Gastronómica,Administración y Comercio,profesional | profesional_con_grado | licenciatura,10,Services,101,Personal services,1013,"Hotel, restaurants and catering",profesional 96.0% | profesional_con_grado 2.7% | licenciatura 1.3%,75.0
Administración Pública,Administración Pública,Ciencias Sociales,profesional | profesional_con_grado | licenciatura,04,"Business, administration and law",041,Business and administration,0413,Management and administration,profesional 48.9% | profesional_con_grado 50.0% | licenciatura 1.1%,176.0
Administración Turística y Hotelera,Administración Turística y Hotelera,Administración y Comercio,profesional | profesional_con_grado,10,Services,101,Personal services,1015,"Travel, tourism and leisure",profesional 80.8% | profesional_con_grado 19.2%,125.0
Administración de Empresas e Ing. Asociadas,Administración de Empresas e Ing. Asociadas,Administración y Comercio,profesional | profesional_con_grado,04,"Business, administration and law",041,Business and administration,0413,Management and administration,profesional 90.3% | profesional_con_grado 9.7%,1043.0
Agronomía,Agronomía,Agropecuaria,profesional_con_grado,08,"Agriculture, forestry, fisheries and veterinary",081,Agriculture,0811,Crop and livestock production,profesional_con_grado 100.0%,54.0
Analista Químico,Analista Químico,Ciencias Básicas,profesional | profesional_con_grado,05,"Natural sciences, mathematics and statistics",053,Physical sciences,0531,Chemistry,profesional 40.0% | profesional_con_grado 60.0%,5.0
Animación Digital,Animación Digital,Arte y Arquitectura,profesional | profesional_con_grado,02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production,profesional 50.0% | profesional_con_grado 50.0%,20.0
Antropología,Antropología,Ciencias Sociales,profesional_con_grado | licenciatura,03,"Social sciences, journalism and information",031,Social and behavioural sciences,0314,Sociology and cultural studies,profesional_con_grado 92.9% | licenciatura 7.1%,14.0
Arqueología,Arqueología,Ciencias Sociales,profesional_con_grado,02,Arts and humanities,022,Humanities (except languages),0222,History and archaeology,profesional_con_grado 100.0%,5.0
Arquitectura,Arquitectura,Arte y Arquitectura,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",073,Architecture and construction,0731,Architecture and town planning,profesional 1.3% | profesional_con_grado 98.7%,76.0
Artes y Licenciatura en Artes,Artes y Licenciatura en Artes,Arte y Arquitectura,profesional_con_grado | licenciatura,02,Arts and humanities,021,Arts,0213,Fine arts,profesional_con_grado 20.8% | licenciatura 79.2%,48.0
Bibliotecología,Bibliotecología,Humanidades,profesional_con_grado,03,"Social sciences, journalism and information",032,Journalism and information,0322,"Library, information and archival studies",profesional_con_grado 100.0%,8.0
Biología,Biología,Ciencias Básicas,profesional_con_grado | licenciatura,05,"Natural sciences, mathematics and statistics",051,Biological and related sciences,0511,Biology,profesional_con_grado 72.7% | licenciatura 27.3%,11.0
Biología Marina y Ecología Marina,Biología Marina y Ecología Marina,Ciencias Básicas,profesional_con_grado,05,"Natural sciences, mathematics and statistics",051,Biological and related sciences,0511,Biology,profesional_con_grado 100.0%,12.0
Bioquímica,Bioquímica,Ciencias Básicas,profesional_con_grado,05,"Natural sciences, mathematics and statistics",051,Biological and related sciences,0512,Biochemistry,profesional_con_grado 100.0%,14.0
Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,profesional_con_grado,03,"Social sciences, journalism and information",031,Social and behavioural sciences,0312,Political sciences and civics,profesional_con_grado 100.0%,21.0
Comunicación Audiovisual y/o Multimedia,Comunicación Audiovisual y/o Multimedia,Arte y Arquitectura,profesional | profesional_con_grado | licenciatura,02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production,profesional 38.9% | profesional_con_grado 58.3% | licenciatura 2.8%,36.0
Construcción Civil,Construcción Civil,Tecnología,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",073,Architecture and construction,0732,Building and civil engineering,profesional 92.9% | profesional_con_grado 7.1%,184.0
Contador Auditor,Contador Auditor,Administración y Comercio,profesional | profesional_con_grado,04,"Business, administration and law",041,Business and administration,0411,Accounting and taxation,profesional 58.1% | profesional_con_grado 41.9%,413.0
Derecho,Derecho,Derecho,profesional_con_grado,04,"Business, administration and law",042,Law,0421,Law,profesional_con_grado 100.0%,189.0
Diseño Gráfico,Diseño Gráfico,Arte y Arquitectura,profesional | profesional_con_grado,02,Arts and humanities,021,Arts,0212,"Fashion, interior and industrial design",profesional 74.6% | profesional_con_grado 25.4%,122.0
Diseño Industrial,Diseño Industrial,Tecnología,profesional | profesional_con_grado,02,Arts and humanities,021,Arts,0212,"Fashion, interior and industrial design",profesional 50.0% | profesional_con_grado 50.0%,24.0
Diseño de Ambientes e Interiores,Diseño de Ambientes e Interiores,Arte y Arquitectura,profesional | profesional_con_grado,02,Arts and humanities,021,Arts,0212,"Fashion, interior and industrial design",profesional 66.7% | profesional_con_grado 33.3%,9.0
Diseño de Vestuario,Diseño de Vestuario,Arte y Arquitectura,profesional | profesional_con_grado,02,Arts and humanities,021,Arts,0212,"Fashion, interior and industrial design",profesional 84.4% | profesional_con_grado 15.6%,32.0
Ecología,Otros Profesionales de Ciencias Básicas,Ciencias Básicas,profesional_con_grado,05,"Natural sciences, mathematics and statistics",052,Environment,0521,Environmental sciences,,
Enfermería,Enfermería,Salud,profesional_con_grado,09,Health and welfare,091,Health,0913,Nursing and midwifery,profesional_con_grado 100.0%,115.0
Filosofía,Filosofía,Humanidades,licenciatura,02,Arts and humanities,022,Humanities (except languages),0223,Philosophy and ethics,licenciatura 100.0%,20.0
Fonoaudiología,Fonoaudiología,Salud,profesional | profesional_con_grado | licenciatura,09,Health and welfare,091,Health,0915,Therapy and rehabilitation,profesional 9.2% | profesional_con_grado 89.5% | licenciatura 1.3%,76.0
Fotografía,Fotografía,Arte y Arquitectura,profesional | profesional_con_grado,02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production,profesional 83.3% | profesional_con_grado 16.7%,6.0
Física y Astronomía,Física y Astronomía,Ciencias Básicas,profesional_con_grado | licenciatura,05,"Natural sciences, mathematics and statistics",053,Physical sciences,0533,Physics,profesional_con_grado 25.8% | licenciatura 74.2%,31.0
Geografía,Geografía,Ciencias Sociales,profesional_con_grado,03,"Social sciences, journalism and information",031,Social and behavioural sciences,0314,Sociology and cultural studies,profesional_con_grado 100.0%,9.0
Geología,Geología,Ciencias Básicas,profesional_con_grado,05,"Natural sciences, mathematics and statistics",053,Physical sciences,0532,Earth sciences,profesional_con_grado 100.0%,29.0
Historia,Historia,Ciencias Sociales,profesional_con_grado | licenciatura,02,Arts and humanities,022,Humanities (except languages),0222,History and archaeology,profesional_con_grado 3.3% | licenciatura 96.7%,30.0
Ingeniería Agroindustrial,Ingeniería Agroindustrial,Tecnología,profesional | profesional_con_grado,07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0721,Food processing,profesional 50.0% | profesional_con_grado 50.0%,6.0
Ingeniería Agrícola,Ingeniería Agrícola,Agropecuaria,profesional,08,"Agriculture, forestry, fisheries and veterinary",081,Agriculture,0811,Crop and livestock production,profesional 100.0%,72.0
Ingeniería Civil,,Tecnología,profesional_con_grado,07,"Engineering, manufacturing and construction",078,,0788,"Inter-disciplinary programmes involving engineering, manufacturing and construction",,
Ingeniería Civil Ambiental,Ingeniería Civil Ambiental,Tecnología,profesional_con_grado,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0712,Environmental protection technology,profesional_con_grado 100.0%,21.0
